Filename,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class
BENGR_Good_2023-03-25-08.30-1-43.jpg,32,13.0,32.0,31.0,219.0,10.0,20.0,a_Good
BENGR_Good_2023-02-28-08.30-1-11.jpg,37,19.0,37.0,18.0,272.0,11.0,21.0,a_Good
BENGR_Good_2023-02-28-08.30-1-551.jpg,37,19.0,37.0,18.0,272.0,11.0,21.0,a_Good
TN_Good_2023-02-27-16.30-1-196.jpg,43,22.0,40.0,36.0,268.0,16.0,7.0,a_Good
BENGR_Good_2023-02-27-08.30-1-276.jpg,47,24.0,46.0,19.0,216.0,8.0,14.0,a_Good
TN_Good_2023-02-27-16.30-1-61.jpg,43,22.0,40.0,36.0,268.0,16.0,7.0,a_Good
BENGR_Good_2023-03-25-08.30-1-60.jpg,32,13.0,32.0,31.0,219.0,10.0,20.0,a_Good
BENGR_Good_2023-03-17-08.30-1-309.jpg,15,4.0,7.0,37.0,288.0,10.0,10.0,a_Good
BENGR_Good_2023-02-28-08.30-1-316.jpg,37,19.0,37.0,18.0,272.0,11.0,21.0,a_Good
BENGR_Good_2023-02-27-08.30-1-71.jpg,47,24.0,46.0,19.0,216.0,8.0,14.0,a_Good
BENGR_Good_2023-03-25-08.30-1-40.jpg,32,13.0,32.0,31.0,219.0,10.0,20.0,a_Good
TN_Good_2023-02-27-16.30-1-221.jpg,43,22.0,40.0,36.0,268.0,16.0,7.0,a_Good
BENGR_Good_2023-02-28-08.30-1-211.jpg,37,19.0,37.0,18.0,272.0,11.0,21.0,a_Good
TN_Good_2023-02-22-09.30-1-46.jpg,36,18.0,28.0,8.0,346.0,27.0,7.0,a_Good
TN_Good_2023-02-20-08.30-1-36.jpg,37,37.0,28.0,22.0,1.0,22.0,5.0,a_Good
TN_Good_2023-02-23-08.30-2-61.jpg,43,21.0,36.0,10.0,410.0,15.0,13.0,a_Good
TN_Good_2023-02-22-09.30-1-251.jpg,36,18.0,28.0,8.0,346.0,27.0,7.0,a_Good
MH_Good_2023-03-23-17.00-1-211.jpg,47,14.0,41.0,35.0,6.0,5.0,7.0,a_Good
TN_Good_2023-02-22-09.30-2-11.jpg,36,18.0,28.0,8.0,346.0,27.0,7.0,a_Good
BENGR_Good_2023-03-17-08.30-1-421.jpg,15,4.0,7.0,37.0,288.0,10.0,10.0,a_Good
TN_Good_2023-02-23-08.30-1-76.jpg,43,21.0,36.0,10.0,410.0,15.0,13.0,a_Good
TN_Good_2023-02-23-08.30-1.jpg,43,21.0,36.0,10.0,410.0,15.0,13.0,a_Good
TN_Good_2023-03-21-08.30-1-15.jpg,27,13.0,27.0,24.0,300.0,35.0,8.0,a_Good
BENGR_Good_2023-03-25-08.30-1-57.jpg,32,13.0,32.0,31.0,219.0,10.0,20.0,a_Good
TN_Good_2023-03-21-08.30-1-43.jpg,27,13.0,27.0,24.0,300.0,35.0,8.0,a_Good
TN_Good_2023-02-22-09.30-1-11.jpg,36,18.0,28.0,8.0,346.0,27.0,7.0,a_Good
BENGR_Good_2023-03-21-08.30-1-484.jpg,47,22.0,47.0,17.0,271.0,3.0,17.0,a_Good
MH_Good_2023-03-22-11.00-1-148.jpg,49,32.0,59.0,46.0,9.0,7.0,17.0,a_Good
TN_Good_2023-02-23-08.30-1-126.jpg,43,21.0,36.0,10.0,410.0,15.0,13.0,a_Good
TN_Good_2023-03-21-08.30-2-145.jpg,27,13.0,27.0,24.0,300.0,35.0,8.0,a_Good
BENGR_Good_2023-02-28-08.30-1-176.jpg,37,19.0,37.0,18.0,272.0,11.0,21.0,a_Good
BENGR_Good_2023-03-17-08.30-1-106.jpg,15,4.0,7.0,37.0,288.0,10.0,10.0,a_Good
TN_Good_2023-02-22-09.30-3-141.jpg,36,18.0,28.0,8.0,346.0,27.0,7.0,a_Good
BENGR_Good_2023-02-19-08.30-1-3.jpg,41,20.0,36.0,9.0,165.0,3.0,8.0,a_Good
TN_Good_2023-02-20-16.30-1-71.jpg,43,22.0,40.0,33.0,226.0,33.0,6.0,a_Good
BENGR_Good_2023-02-27-08.30-1-111.jpg,47,24.0,46.0,19.0,216.0,8.0,14.0,a_Good
BENGR_Good_2023-02-26-08.30-1-146.jpg,48,24.0,47.0,17.0,210.0,13.0,14.0,a_Good
BENGR_Good_2023-03-17-08.30-1-57.jpg,15,4.0,7.0,37.0,288.0,10.0,10.0,a_Good
TN_Good_2023-02-22-09.30-3-136.jpg,36,18.0,28.0,8.0,346.0,27.0,7.0,a_Good
MH_Good_2023-03-22-11.00-1-176.jpg,49,32.0,59.0,46.0,9.0,7.0,17.0,a_Good
TN_Good_2023-02-23-08.30-1-96.jpg,43,21.0,36.0,10.0,410.0,15.0,13.0,a_Good
TN_Good_2023-02-21-08.30-1-161.jpg,29,29.0,21.0,5.0,301.0,30.0,7.0,a_Good
TN_Good_2023-02-20-16.30-1-116.jpg,43,22.0,40.0,33.0,226.0,33.0,6.0,a_Good
TN_Good_2023-02-20-08.30-1-3.jpg,37,37.0,28.0,22.0,1.0,22.0,5.0,a_Good
MH_Good_2023-03-23-17.00-1-561.jpg,47,14.0,41.0,35.0,6.0,5.0,7.0,a_Good
TN_Good_2023-02-22-09.30-3-291.jpg,36,18.0,28.0,8.0,346.0,27.0,7.0,a_Good
TN_Good_2023-02-20-08.30-1-6.jpg,37,37.0,28.0,22.0,1.0,22.0,5.0,a_Good
BENGR_Good_2023-02-28-08.30-1-81.jpg,37,19.0,37.0,18.0,272.0,11.0,21.0,a_Good
BENGR_Good_2023-02-28-08.30-1-296.jpg,37,19.0,37.0,18.0,272.0,11.0,21.0,a_Good
MH_Good_2023-03-22-18.00-1-163.jpg,47,21.0,43.0,37.0,4.0,8.0,7.0,a_Good
TN_Good_2023-02-23-08.30-2-226.jpg,43,21.0,36.0,10.0,410.0,15.0,13.0,a_Good
TN_Good_2023-02-21-08.30-2-46.jpg,29,29.0,21.0,5.0,301.0,30.0,7.0,a_Good
TN_Good_2023-02-27-16.30-1-136.jpg,43,22.0,40.0,36.0,268.0,16.0,7.0,a_Good
BENGR_Good_2023-02-26-08.30-1-251.jpg,48,24.0,47.0,17.0,210.0,13.0,14.0,a_Good
TN_Good_2023-02-20-16.30-1-146.jpg,43,22.0,40.0,33.0,226.0,33.0,6.0,a_Good
TN_Good_2023-02-22-09.30-2-156.jpg,36,18.0,28.0,8.0,346.0,27.0,7.0,a_Good
TN_Good_2023-02-23-08.30-3.jpg,43,21.0,36.0,10.0,410.0,15.0,13.0,a_Good
TN_Good_2023-03-21-08.30-1-57.jpg,27,13.0,27.0,24.0,300.0,35.0,8.0,a_Good
BENGR_Good_2023-03-25-08.30-1-47.jpg,32,13.0,32.0,31.0,219.0,10.0,20.0,a_Good
TN_Good_2023-03-21-08.30-1-134.jpg,27,13.0,27.0,24.0,300.0,35.0,8.0,a_Good
BENGR_Good_2023-02-28-08.30-1-186.jpg,37,19.0,37.0,18.0,272.0,11.0,21.0,a_Good
MH_Good_2023-03-23-17.00-1-323.jpg,47,14.0,41.0,35.0,6.0,5.0,7.0,a_Good
MH_Good_2023-03-22-11.00-1-183.jpg,49,32.0,59.0,46.0,9.0,7.0,17.0,a_Good
TN_Good_2023-02-21-08.30-3-126.jpg,29,29.0,21.0,5.0,301.0,30.0,7.0,a_Good
TN_Good_2023-02-20-16.30-2-171.jpg,43,22.0,40.0,33.0,226.0,33.0,6.0,a_Good
BENGR_Good_2023-03-17-08.30-1-449.jpg,15,4.0,7.0,37.0,288.0,10.0,10.0,a_Good
TN_Good_2023-02-20-16.30-1-196.jpg,43,22.0,40.0,33.0,226.0,33.0,6.0,a_Good
BENGR_Good_2023-03-25-08.30-1-5.jpg,32,13.0,32.0,31.0,219.0,10.0,20.0,a_Good
BENGR_Good_2023-03-25-08.30-1-27.jpg,32,13.0,32.0,31.0,219.0,10.0,20.0,a_Good
BENGR_Good_2023-02-27-08.30-1-386.jpg,47,24.0,46.0,19.0,216.0,8.0,14.0,a_Good
TN_Good_2023-02-20-08.30-1-8.jpg,37,37.0,28.0,22.0,1.0,22.0,5.0,a_Good
TN_Good_2023-02-20-16.30-1-166.jpg,43,22.0,40.0,33.0,226.0,33.0,6.0,a_Good
TN_Good_2023-02-23-08.30-1-1.jpg,43,21.0,36.0,10.0,410.0,15.0,13.0,a_Good
TN_Good_2023-03-21-08.30-2-9.jpg,27,13.0,27.0,24.0,300.0,35.0,8.0,a_Good
TN_Good_2023-02-21-08.30-3-131.jpg,29,29.0,21.0,5.0,301.0,30.0,7.0,a_Good
TN_Good_2023-02-20-16.30-2-176.jpg,43,22.0,40.0,33.0,226.0,33.0,6.0,a_Good
BENGR_Good_2023-03-17-08.30-1-113.jpg,15,4.0,7.0,37.0,288.0,10.0,10.0,a_Good
MH_Good_2023-03-22-18.00-1-121.jpg,47,21.0,43.0,37.0,4.0,8.0,7.0,a_Good
BENGR_Good_2023-02-26-08.30-1-411.jpg,48,24.0,47.0,17.0,210.0,13.0,14.0,a_Good
